État physique;Nom du produit (sur packaging);IUPAC - Formule Brute;Quantités en stock;Unité;Étagère;Pictogrammes;Mars 2025;Juillet 2025;Juillet 2026;Besoin URGENT;;;;;;;;;;
SOLIDE;BLEU DE MÉTHYLÈNE;;15;g;5 LP;SGH07;15;;;;;;;;;;;;;
SOLIDE;BLEU DE MÉTHYLÈNE;;1;g;6;SGH07;1;;;;;;;;;;;;;
LIQUIDE;BLEU DE MÉTHYLÈNE;;70;mL;6;SGH07;70;;;;;;;;;;;;;
LIQUIDE;BLEU DE MÉTHYLÈNE;;400;mL;labo;SGH07;400;;;;;;;;;;;;;
LIQUIDE;BLEU DE METHYLENE 5E-5 MOL/L;;600;mL;labo;SGH07;600;;;;;;;;;;;;;
SOLIDE;BLEU DE METHYLENE HYDRATÉ;;8;g;6;SGH07;8;;;;;;;;;;;;;
LIQUIDE;BLEU DE METHYLENE PHÉNIQUE;;125;mL;6;SGH02 SGH08 SGH07;125;;;;;;;;;;;;;
SOLIDE;BLEU PATENTÉ V;;5;g;6;NON;5;;;;;;;;;;;;;
SOLIDE;BROMOTHYMOL BLEU;BLEU DE BROMOTHYMOL;1;g;6;NON;1;;;;;;;;;;;;;
LIQUIDE;BUTAN-1-OL;BUTAN-1-OL;1000;mL;3;SGH02 SGH05 SGH07;1000;;;;;;;;;;;;;
LIQUIDE;BUTAN-2-OL;BUTAN-2-OL;1000;mL;3;SGH02 SGH07;1000;;;;;;;;;;;;;
SOLIDE;C2Ca;carbure de calcium - CaC2;100;g;5 LP;SGH02;100;;;;;;;;;;;;;
LIQUIDE;C6H12;;200;mL;5 LP;SGH02 SGH07 SGH08 SGH09;200;;;;;;;;;;;;;
LIQUIDE;CACOTHEINE;;0;mL;;NON;;;;;;;;;;;;;;
SOLIDE;CACOTHÉLINE;;2;g;6;NON;2;;;;;;;;;;;;;
SOLIDE;CADMIUM CHLORURE;CHLORURE DE CADMIUM;150;g;6;SGH06 SGH08 SGH09;150;;;;;;;;;;;;;
SOLIDE;CAFEÏNE;1,3,7-TRIMÉTHYLXANTHINE;218;g;4;SGH07;218;;;;;;;;;;;;;
SOLIDE;CALCIUM;CALCIUM - Ca;800;g;5 LP;SGH02 SGH05;800;;;;;;;;;;;;;
SOLIDE;CALCIUM ACÉTATE;ACETATE DE CALCIUM;3000;g;5 LP;NON;3000;;;;;;;;;;;;;
SOLIDE;CALCIUM CARBONATE;CARBONATE DE CALCIUM - CaCO3;50;g;labo;NON;50;;;;;;;;;;;;;
SOLIDE;CALCIUM CARBURE;CARBURE DE CALCIUM - CaC2;300;g;5 LP;SGH02;300;;;;;;;;;;;;;
SOLIDE;CALCIUM CHLORURE  ;CHLORURE DE CALCIUM - CaCl2;873;g;6;SGH07;873;;;;;;;;;;;;;
SOLIDE;CALCIUM CHLORURE  ANHYDRE;CHLORURE DE CALCIUM - CaCl2;226;g;6;SGH07;226;;;;;;;;;;;;;
SOLIDE;CALCIUM CHLORURE ANHYDRE;CHLORURE DE CALCIUM - CaCl2;400;g;5 LP;SGH07;400;;;;;;;;;;;;;
SOLIDE;CALCIUM FONDU RAPURES;CALCIUM - Ca;300;g;6;SGH02 SGH05;300;;;;;;;;;;;;;
SOLIDE;CALCIUM HYDROXYDE;HYDROXYDE DE CALCIUM - CA(OH)2;200;g;5 LP;NON;200;;;;;;;;;;;;;
SOLIDE;CALCIUM HYDROXYDE;HYDROXYDE DE CALCIUM - CA(OH)2;880;g;6;NON;880;;;;;;;;;;;;;
SOLIDE;CALCIUM II CHLORURE HEXAHYDRATÉ;HYDROXYDE DE CALCIUM - CA(OH)2;200;g;5 LP;NON;200;;;;;;;;;;;;;
SOLIDE;CALCIUM NITRATE;NITRATE DE CALCIUM - CA(NO3)2;900;g;5 LP;NON;900;;;;;;;;;;;;;
SOLIDE;CALCIUM NITRATE;NITRATE DE CALCIUM - CA(NO3)2;1216;g;6;NON;1216;;;;;;;;;;;;;
SOLIDE;CARBONATE DE CALCIUM;CARBONATE DE CALCIUM - CaCO3;1400;g;5 LP;NON;1400;;;;;;;;;;;;;
SOLIDE;CARBONATE DE CUIVRE;CARBONATE DE CUIVRE (II) - CuCO3;300;g;5 LP;NON;300;;;;;;;;;;;;;
